"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3357","I’m currently fighting influenza B so that’s why I haven’t been active on both instagram accounts I have for findom… https://t.co/r6w226qeru",FALSE,1,NA,2018-02-27 06:41:30,TRUE,NA,"968375522223894529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","allieraethegod",0,FALSE,FALSE,NA,NA
"3358","@cikyn Thea kena Influenza A <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> cian dia temp tak turun2..",FALSE,0,"cikyn",2018-02-27 06:40:53,FALSE,"968361709399347203","968375367928045569","47958880","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlinHassan",0,FALSE,FALSE,NA,NA
"3359","PRO/EAFR&gt; Avian influenza (13) - update, OIE https://t.co/v32NYEgAqv",FALSE,0,NA,2018-02-27 06:39:09,FALSE,NA,"968374930579521537",NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>","ProMED_EAFR",0,FALSE,FALSE,NA,NA
"3360","@ancgreek @Trollblume2609 Naja, bisher hatte es ja prima geholfen. Vor allem während der Influenza. Probleme hatte… https://t.co/ExkBtWHYQp",FALSE,0,"ancgreek",2018-02-27 06:36:24,TRUE,"968369871070298112","968374238594953217","488415821","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FrauLehrMama",0,FALSE,FALSE,NA,NA
"3361","Die #Grippewelle hat #Köln im Griff. #allekrank #influenza https://t.co/zACaOht9tx",FALSE,0,NA,2018-02-27 06:32:46,FALSE,NA,"968373325654306816",NA,"<a href=""http://www.radiokoeln.de"" rel=""nofollow"">radio-koeln</a>","radiokoeln",0,FALSE,FALSE,NA,NA
"3362","Jajajajaja amo que le traje al TL la influenza estacional de esta canción https://t.co/sYE7u6UWOl",FALSE,1,NA,2018-02-27 06:31:53,FALSE,NA,"968373100747386881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","grossglam",0,FALSE,FALSE,NA,NA
"3363","This sounds very impressive. Ghana's recent experiences of H1N1 influenza and meningitis outbreaks demonstrate how… https://t.co/y26xPqHWjX",FALSE,4,NA,2018-02-27 06:28:26,TRUE,NA,"968372233013026816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","abena_serwaa",2,FALSE,FALSE,NA,NA
"3364","Ecco ecco!!!BUONGIORNO !!!BUONA GIORNATA A VOI!LA MIA ...SEMPRE IN COMPAGNIA(dell'""Amica <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> influenza"")<ed><U+00A0><U+00BD><ed><U+00B8><U+0090> https://t.co/p4JSUswqdA",FALSE,32,NA,2018-02-27 06:22:45,FALSE,NA,"968370802939842561",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","DanielaSalvemi1",5,FALSE,FALSE,NA,NA
"3365","Luego de combatir la influenza, con una infección secundaria a medio curar y alertas de nieve volvemos a empezar #odioMadrugarMucho",FALSE,1,NA,2018-02-27 06:22:01,FALSE,NA,"968370618612830208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","isisgmt",0,FALSE,FALSE,NA,NA
"3366","Ed ecco ""Burian"" che prolunga l'influenza... https://t.co/szHINRp71O",FALSE,0,NA,2018-02-27 06:19:19,FALSE,NA,"968369939202695169",NA,"<a href=""http://www.stilopolis.it"" rel=""nofollow"">Stilopolis</a>","Stilopolis",0,FALSE,FALSE,NA,NA
