"","lon","lat"
"1423",-118.2436849,34.0522342
"1424",-123.1207375,49.2827291
"1425",NA,NA
"1426",-87.9535534,41.8397865
"1427",-2.70309,53.763201
"1428",-84.155741,31.5785074
"1429",NA,NA
"1430",NA,NA
"1431",-76.2177046,43.106456
"1432",-94.513281,37.0842271
"1433",-76.6121893,39.2903848
"1434",-0.1277583,51.5073509
"1435",NA,NA
"1436",-106.4850217,31.7618778
"1437",NA,NA
"1438",-43.3053106,-22.7862985
"1439",-4.251806,55.864237
"1440",-43.4941892,-22.9763118
"1441",-117.1610838,32.715738
"1442",NA,NA
"1443",-43.1728965,-22.9068467
"1444",-1.829833,52.4750743
"1445",-75.1652215,39.9525839
"1446",NA,NA
"1447",-43.1728965,-22.9068467
"1448",-43.3433999,-21.7624237
"1449",-97.5164276,35.4675602
"1450",-122.442767,47.2608221
"1451",-122.442767,47.2608221
"1452",-75.1652215,39.9525839
"1453",NA,NA
"1454",174.885971,-40.900557
"1455",101.975766,4.210484
"1456",-79.3831843,43.653226
"1457",5.6367423,52.3422025
"1458",32.5825197,0.3475964
"1459",NA,NA
"1460",-88.1309,41.983865
"1461",-43.6843877,-22.9196515
"1462",-1.1743197,52.3555177
"1463",NA,NA
"1464",-4.251806,55.864237
"1465",-77.297508,18.109581
"1466",26.7967849,-28.4541105
"1467",-43.1728965,-22.9068467
"1468",47.9774052,29.375859
"1469",-121.7956092,37.2401368
"1470",-0.1277583,51.5073509
"1471",-81.655651,30.3321838
"1472",137.131837,34.8646683
"1473",-122.3320708,47.6062095
"1474",-73.9441579,40.6781784
"1475",-89.0928155,30.3674198
"1476",-80.1917902,25.7616798
"1477",-94.6858998,46.729553
"1478",-96.84995,32.977735
"1479",NA,NA
"1480",NA,NA
"1481",-123.3656444,48.4284207
"1482",NA,NA
"1483",-84.3879824,33.7489954
"1484",-3.9273778,38.9848295
"1485",NA,NA
"1486",-106.4850217,31.7618778
"1487",NA,NA
"1488",NA,NA
"1489",-81.5157535,27.6648274
"1490",NA,NA
"1491",NA,NA
"1492",-119.4179324,36.778261
"1493",-97.0544341,28.0205733
"1494",-1.0682346,43.7256468
"1495",-80.085059,42.1292241
"1496",-74.0059728,40.7127753
"1497",-43.9352376,-19.9245018
"1498",-43.1728965,-22.9068467
"1499",-79.3831843,43.653226
"1500",-78.183406,-1.831239
"1501",-94.658108,39.022807
"1502",-106.4850217,31.7618778
"1503",-86.1219155,38.2120121
"1504",-85.323214,51.253775
"1505",NA,NA
"1506",NA,NA
"1507",NA,NA
"1508",NA,NA
"1509",NA,NA
"1510",-81.655651,30.3321838
"1511",-82.7994194,42.6960659
"1512",NA,NA
"1513",-77.4302414,34.7540524
"1514",0.731596,51.340402
"1515",-43.1728965,-22.9068467
"1516",-83.8510732,43.0630833
"1517",NA,NA
"1518",-77.0368707,38.9071923
"1519",-111.3372959,33.0324826
"1520",-43.1728965,-22.9068467
"1521",NA,NA
"1522",-43.1728965,-22.9068467
"1523",-91.9623327,30.9842977
"1524",-86.9211946,40.4237054
"1525",-43.1728965,-22.9068467
"1526",-95.712891,37.09024
"1527",-79.3904511,43.6525067
"1528",-112.0740373,33.4483771
"1529",-112.0740373,33.4483771
"1530",-122.7140548,38.440429
"1531",-122.7140548,38.440429
"1532",-2.9915726,53.4083714
"1533",NA,NA
"1534",-118.493477,34.009827
"1535",-118.2436849,34.0522342
"1536",NA,NA
"1537",-117.9988026,33.6594835
"1538",-122.3320708,47.6062095
"1539",-80.782127,8.537981
"1540",4.8951679,52.3702157
"1541",-81.5157535,27.6648274
"1542",-80.8431267,35.2270869
"1543",NA,NA
"1544",-82.3248262,29.6516344
"1545",-82.6379387,38.4784144
"1546",NA,NA
"1547",NA,NA
"1548",-1.8790017,52.4765011
"1549",-81.5157535,27.6648274
"1550",0.121817,52.205337
"1551",-81.5157535,27.6648274
"1552",NA,NA
"1553",-71.0588801,42.3600825
"1554",-122.2913078,37.8271784
"1555",-122.24414,47.463181
"1556",-1.1743197,52.3555177
"1557",-118.3302212,34.1016464
"1558",-92.6643634,46.2791124
"1559",-76.6121893,39.2903848
"1560",-87.6297982,41.8781136
"1561",-51.92528,-14.235004
"1562",115.66283,-2.2179704
"1563",-99.9018131,31.9685988
"1564",-74.0059728,40.7127753
"1565",NA,NA
"1566",-117.1610838,32.715738
"1567",NA,NA
"1568",35.21371,31.768319
"1569",-0.1277583,51.5073509
"1570",-95.712891,37.09024
"1571",-95.712891,37.09024
"1572",NA,NA
"1573",-82.5306527,27.3364347
"1574",NA,NA
"1575",-119.4179324,36.778261
"1576",-43.1728965,-22.9068467
"1577",-82.3940104,34.8526176
"1578",NA,NA
"1579",-1.890401,52.486243
"1580",-0.1277583,51.5073509
"1581",-43.1728965,-22.9068467
"1582",-84.8259353,34.1500774
"1583",44.3863163,14.5564672
"1584",-73.5387341,41.0534302
"1585",NA,NA
"1586",NA,NA
"1587",-74.7805192,41.6897493
"1588",9.533333,11.75
"1589",NA,NA
"1590",-46.9315644,-19.6081465
"1591",-43.1728965,-22.9068467
"1592",-43.18473,-22.9332067
"1593",-43.18473,-22.9332067
"1594",-84.1768507,39.7693678
"1595",-43.3053106,-22.7862985
"1596",NA,NA
"1597",-118.407293,33.976817
"1598",19.5033041,47.162494
"1599",NA,NA
"1600",NA,NA
"1601",NA,NA
"1602",-76.6412712,39.0457549
"1603",-51.92528,-14.235004
"1604",NA,NA
"1605",-78.8689155,38.4495688
"1606",-93.2650108,44.977753
"1607",-51.92528,-14.235004
"1608",-102.4107493,34.2331373
"1609",-76.6121893,39.2903848
"1610",-69.3844783,45.1689375
"1611",-43.1728965,-22.9068467
"1612",-43.3433999,-21.7624237
"1613",NA,NA
"1614",-75.1652215,39.9525839
"1615",-0.1277583,51.5073509
"1616",-43.1728965,-22.9068467
"1617",NA,NA
"1618",-122.4194155,37.7749295
"1619",-75.0119404,39.9152369
"1620",-118.3286614,34.0928092
"1621",-81.1637245,33.836081
"1622",NA,NA
"1623",NA,NA
"1624",-113.4120833,8.5902777
"1625",-81.4498717,37.2232316
"1626",-75.6971931,45.4215296
"1627",144.9630576,-37.8136276
"1628",-86.9211946,40.4237054
"1629",-6.2603097,53.3498053
"1630",NA,NA
"1631",-111.6946475,40.2968979
"1632",-74.0059728,40.7127753
"1633",NA,NA
"1634",-4.1426565,50.3754565
"1635",-96.7969879,32.7766642
"1636",-34.8769643,-8.0475622
"1637",-2.0571868,52.8792745
"1638",-0.1277583,51.5073509
"1639",NA,NA
"1640",NA,NA
"1641",-106.4850217,31.7618778
"1642",NA,NA
"1643",-118.9070887,34.1805403
"1644",-60.6758331,2.8235098
"1645",NA,NA
"1646",NA,NA
"1647",-74.169001,40.738348
"1648",-2.7974835,54.5772323
"1649",-79.0079949,35.1414552
"1650",28.0473051,-26.2041028
"1651",NA,NA
"1652",-84.065693,33.822663
"1653",-43.1728965,-22.9068467
"1654",NA,NA
"1655",-43.1728965,-22.9068467
"1656",-79.3780802,43.6719799
"1657",-38.5014136,-12.9722184
"1658",78.4013771,17.386887
"1659",-120.5542012,43.8041334
"1660",106.8650395,-6.17511
"1661",-115.1398296,36.1699412
"1662",NA,NA
"1663",-99.9018131,31.9685988
"1664",NA,NA
"1665",-117.0455722,32.5388762
"1666",-51.92528,-14.235004
"1667",21.8568586,-29.0466808
"1668",NA,NA
"1669",-81.1637245,33.836081
"1670",-77.6808098,43.0828668
"1671",-77.6808098,43.0828668
"1672",-79.6441198,43.5890452
"1673",-121.8863286,37.3382082
"1674",-3.7037902,40.4167754
"1675",-3.530875,50.7155591
"1676",NA,NA
"1677",NA,NA
"1678",-117.1610838,32.715738
"1679",-77.0368707,38.9071923
"1680",-93.2922989,37.2089572
"1681",-81.269453,28.8028612
"1682",NA,NA
"1683",NA,NA
"1684",-75.1652215,39.9525839
"1685",NA,NA
"1686",NA,NA
"1687",-4.6334147,50.3409954
"1688",-43.1728965,-22.9068467
"1689",NA,NA
"1690",-95.712891,37.09024
"1691",-77.7924992,40.7756184
"1692",-76.6019125,39.4014955
"1693",NA,NA
"1694",-123.0867536,44.0520691
"1695",-121.2907796,37.9577016
"1696",NA,NA
"1697",78.4013771,17.386887
"1698",NA,NA
"1699",NA,NA
"1700",NA,NA
"1701",NA,NA
"1702",NA,NA
"1703",-79.3831843,43.653226
"1704",78.4013771,17.386887
"1705",-74.0059728,40.7127753
"1706",78.4013771,17.386887
"1707",-44.5550308,-18.512178
"1708",-94.317966,45.5647724
"1709",-52.3375886,-31.7653989
"1710",-78.898619,35.9940329
"1711",-43.1728965,-22.9068467
"1712",-95.712891,37.09024
"1713",NA,NA
"1714",-82.907123,40.4172871
"1715",28.7780987,-31.6066839
"1716",NA,NA
"1717",NA,NA
"1718",-86.5804473,35.5174913
"1719",-94.668467,38.8899203
"1720",-82.3213571,27.9813981
"1721",-105.292844,40.022424
"1722",NA,NA
"1723",NA,NA
"1724",NA,NA
"1725",NA,NA
"1726",NA,NA
"1727",NA,NA
"1728",NA,NA
"1729",NA,NA
"1730",NA,NA
"1731",NA,NA
"1732",NA,NA
"1733",NA,NA
"1734",NA,NA
"1735",NA,NA
"1736",NA,NA
"1737",NA,NA
"1738",NA,NA
"1739",NA,NA
"1740",NA,NA
"1741",NA,NA
"1742",NA,NA
"1743",NA,NA
"1744",NA,NA
"1745",NA,NA
"1746",NA,NA
"1747",NA,NA
"1748",NA,NA
"1749",NA,NA
"1750",NA,NA
"1751",NA,NA
"1752",NA,NA
"1753",NA,NA
"1754",NA,NA
"1755",NA,NA
"1756",NA,NA
"1757",NA,NA
"1758",NA,NA
"1759",NA,NA
"1760",NA,NA
"1761",NA,NA
"1762",NA,NA
"1763",NA,NA
"1764",NA,NA
"1765",NA,NA
"1766",NA,NA
"1767",NA,NA
"1768",NA,NA
"1769",NA,NA
"1770",NA,NA
"1771",NA,NA
"1772",NA,NA
"1773",NA,NA
"1774",NA,NA
"1775",NA,NA
"1776",NA,NA
"1777",NA,NA
"1778",NA,NA
"1779",NA,NA
"1780",NA,NA
"1781",NA,NA
"1782",NA,NA
"1783",NA,NA
"1784",NA,NA
"1785",NA,NA
